School or ECD,Center Type,YearBeyond,Masi Lit Primary,ZZ Primary,Masi Lit ECD,1000 Stories,ZZ ECD,Primary Numeracy,Edu Tech,ECD Numeracy,Total Youth
Aaron Gqadu,Primary School,,4,,2,1,,1,,,15
Astra,Primary School,8,,4,,1,,,,,14
Ben Nyathi,Primary School,6,,,,,,,,,6
Ben Sinuka,Primary School,,4,,,1,,1,,,10
Bethelsdorp,Primary School,6,,,,,,,,,6
Bethvale,Primary School,6,,,,,,,,,8
BJ Mnyanda,Primary School,,,,,,,,,,0
Canzibe,Primary School,,,4,,1,,,,,5
Cebelihle,Primary School,,,,,,,,,,0
Charles Duna,Primary School,6,3,3,2,1,,1,2,,26
Daniels,Primary School,,,,,,,,,,0
Dias Farm School,Primary School,,,,,,,,,,1
Dumani,Primary School,,,8,,1,,,,,17
Ebhongweni,Primary School,,2,1,,1,,1,1,,12
Elufefeni,Primary School,,2,2,,1,,1,,,14
Emafini,Primary School,,,,,,,,,,0
Emfundweni,Primary School,,,,,,,,,1,2
Empumalanga,Primary School,6,4,2,,1,,,,,19
Emsengeni,Primary School,6,,,,,,,,,10
Emzimhlophe,Primary School,,,,,,,,,,0
Emzomncane,Primary School,,,,,,,,,,0
Enkululekweni,Primary School,8,,,,,,4,,,12
Fumisukoma,Primary Schoo,6,4,4,,,,,3,,35
Gertrude,Primary School,,3,2,,1,,,,,12
Isaac Booi,Primary School,8,4,6,,1,,,2,,33
Jarvis Gqamlana,Primary School,,,,,1,,,,,2
Kama,Primary School,,,,,,,,,,0
KK Ncwane,Primary School,,,,,,,1,,,1
Kwanoxolo,Primary School,,,4,,,,,,,4
Mboniselo,Primary School,6,,,,,,,,,6
Melisizwe,Primary School,,,,,,,,,,0
Molefe,Primary School,,,4,,,,,,,8
Sapphire,Primary School,6,,,,1,,,,,12
Seyisi,Primary School,6,4,6,2,1,,,2,,33
Sivuyiseni,Primary School,,,,,,,,,,0
Spencer,Primary School,,,,,,,,,,0
Steven Mazungula,Primary School,,,,,1,,,,,2
Strelitzia,Primary School,6,,,,,,,,,10
Sume Center,ECDC,,,,3,,,,,,5
Bavumeleni PreSchool,ECDC,,,,,,2,,,,4
Bright angels,ECDC,,,,2,,,,,1,6
Dorothy,ECDC,,,,2,,,,,1,5
Ekhaya PreSchool,ECDC,,,,,,,,,,0
Emanuel Day Care,ECDC,,,,,,1,,,,2
Ezibeleni,ECDC,,,,,,,,,,0
Future Angels,ECDC,,,,,,,,,,0
Green Apple,ECDC,,,,2,,3,,,,9
Ilitha Lethu Day Care,ECDC,,,,,,1,,,,2
Jongilanga,ECDC,,,,1,,,,,,2
Kids College,ECDC,,,,,,1,,,,2
Koester Day Care,ECDC,,,,,,,,,,1
Lukhanyiso,ECDC,,,,,,1,,,,
Libhongolethu,ECDC,,,,,,1,,,,2
Lithemba,ECDC,,,,2,,,,,1,6
Qhamani,ECDC,,,,,,,,,2,
Umzamomhle,ECDC,,,,,,,,,1,
Malukhanye,ECDC,,,,,,,,,1,
Lavela,ECDC,,,,,,,,,1,
Likhaya,ECDC,,,,,,,,,1,
Takalani,ECDC,,,,,,,,,2,
Nosandla,ECDC,,,,,,,,,1,
Kamvalethu,ECDC,,,,,,,,,1,
Lihlombe,ECDC,,,,,,,,,1,
Twinkle Toes,ECDC,,,,,,,,,1,
Emfundweni ,ECDC,,,,,,,,,1,
Sizamokuhle,ECDC,,,,,,,,,2,
Jongi Ingomso,ECDC,,,,,,1,,,,
Baby Day Care,ECDC,,,,,,1,,,2,
Arise and Shine,ECDC,,,,,,1,,,,
Lukhanyiso,ECDC,,,,,,,,,2,
Khazimla,ECDC,,,,,,,,,1,
Sophakama,ECDC,,,,,,,,,1,
Livuse PreSchool,ECDC,,,,,,1,,,,2
Lukhanyo Creche,ECDC,,,,,,1,,,,2
Umzamomhle,ECDC,,,,,,2,,,,3
Njongozabantu,ECDC,,,,,,1,,,,2
Nobandla,ECDC,,,,2,,,,,,4
Noluthando,ECDC,,,,2,,,,,,4
Nomtha,ECDC0,,,,0,,,,,,0
Nonqkubela,ECDC,,,,,,,,,,2
Paulos Oyungcwele,ECDC,,,,1,,,,,,2
Qaqawuli Godolozi,ECDC,,,,1,,,,,,3
Arise and Shine,ECDC,,,,,,,,,,1
Sakha Abantwana,ECDC,,,,,,1,,,,1
Sifunimfundo,ECDC,,,,2,,,,,,4
Sinethemba,ECDC,,,,2,,,,,,3
Sisonke,ECDC,,,,1,,,,,,2
Siyabulela PreSchool,ECDC,,,,,,2,,,,2
St Mary Magaldene,ECDC,,,,,,1,,,,2
Thembalethu PreSchool,ECDC,,,,,,,,,,2
Zizamele,ECDC,,,,2,,,,,1,6
WIND FARMS,,,,,,,,,,,0
Kokkewiet,ECDC,,,,1,,,,,,1
Bambino,ECDC,,2,,2,,,,,,4
Vukani,ECDC,,1,,1,,,,,,2
Living Ubuntu,ECDC,,,,2,,1,,,,3
Wittekleibosch,ECDC,,,,,,1,,,,1
Msobomvu,Primary School,,5,,,1,,,,,6
Clarkson,Primary School,,12,,,,,,,,12
Sandwater,Primary School,,5,,,,,,,,5
Nceduluntu,ECDC,,,,,,2,,,,2
Lingelethu,Primary School,,8,,,,,,,,8
Phakama ,Primary School,,,,,,,,,,
Garrett,Primary School,,,,,,,,,,
Esitiyeni,Primary School,,,,,,,,,,
WB Tshume,Primary School,,,,,,,,,,
Msobomvu,ECDC,,,,,,1,,,,