All Sites,1000 stories,EduTech
Holy Name Community,18,
Linge Tots,45,
Little Angels Unite,18,
Ekhaya,35,
Future Kids Educare,35,
Nolundi,72,
Nomonde,19,
Arise and Shine,15,
Early Rose,11,
Njongozabantu,23,
Nontsapho,35,
Dorcas Educare Centre,10,
Lukhanyiso,,
Thandi's Educare & Aftercare,16,
Kings and Quuens,30,
Libhongo Lwethu,44,
Entokozweni EduCare,15,
Luv Birds Day care,25,
Kwakhanya,,
Nosandla Educare,25,
Sakhuxolo Educare,28,
Umzam'omhle Educare,60,
Busy Bee,35,
Vulithemba,35,
Good Hope,30,
Sekunjalo EduCentre,20,
Sunnyside,333,
Nelisa,24,
Rock of Ages,13,
Sikhulise Pre-School,64,
Twinkle toes Educare ,,
Yomelela EduCare,34,
Cuttee Babies Nursery,26,
P.G Mangqana Pre-School,20,
Aaron Gqadu,33,
Adcoc Brighton kids,31,
Bambino,25,
Bavumeleni,,
Bomi obutsha,27,
Bright Angels,18,
Charles Duna,62,
Dorothy,45,
Ezibeleni,,
Future Angels ,,
Future Stars,21,
Govan Mbeki,32,
Green Apple,116,
Hlumelo,6,
Ikamvalethu,25,
Ilithalethu,,
Isizwe Sethu,26,
Jesus Dominion,26,
Jongilanga,30,
Khazimla,26,
Kids College,,
Kokkewiet,9,
Lithemba,40,
Little Ships,25,
Living Ubuntu,24,
Lukhanyiselo,15,
Malikhanye Day Care,32,
Minnie Day Care,23,
Msobomvu Pre-School,,
Mzamomhle Edu-care,,
Nceduluntu Edu-care ,,
New Brighton Future Kids,34,
Nobandla,75,
Noluthando,32,
Nonkqubela,33,
Paulos Oyigcwele,51,
Qaqawuli Godolozi,100,
Sakha Abantwana,26,
Seyisi,37,
Sifunimfundo,42,
Simanye,5,
Sinethemba,34,
Sisonke,28,
Siyabulela ,,
Siyazama,,
St Magdalene,,
Thanda Abantwana,14,
Tinky Winky Day Care,35,
Vukani Daycare,20,
Zizamele,28,
Zukhanye,17,
Aaron Gqadu,153.6,81
Charles Duna,615.6,1001
Seyisi,395.4,732
Astra,651,
Ben Sinuka,176.4,
Bethelsdorp,,
BJ Mnyanda,,
Clarkson,600,
Ebongweni,339.6,538
Empumalanga,651,
Fumisukoma,918.6,667
Isaac Booi,627.6,578
Elufefeni,600,
Dumani,900,24
Kama,,
Khanyisa,,
KK Ncwana,,
Kroneberg,,
Mboniselo,,
Melisizwe,,
Molefe,,
Mzingisi,,
Phakamile,,
Sandwater,396,
St Augustines,,
Zukisa,,
Canzibe,,
Cebelihle,,
Daniels Public,,
David Vuku,,
Emafini Primary,,
Emfundweni,,
Emsengeni,,
Emzomncane,,
Gertrude Shope,,
KwaNoXolo,,
Mzimhlophe,,
Ntyatyambo,,
Sivuyiseni,,
Spencer Mabija,,
Stephen Mazungula,635,
Jarvis Gqamlana,220,
Lamani Primary School,27,