name,type
Aaron Gqadu,Primary School
Astra,Primary School
Ben Nyathi,Primary School
Ben Sinuka,Primary School
Bethelsdorp,Primary School
Bethvale,Primary School
BJ Mnyanda,Primary School
Canzibe,Primary School
Cebelihle,Primary School
Charles Duna,Primary School
Daniels,Primary School
Dumani,Primary School
Ebhongweni,Primary School
Elufefeni,Primary School
Emafini,Primary School
Emfundweni,Primary School
Empumalanga,Primary School
Emsengeni,Primary School
Emzimhlophe,Primary School
Emzomncane,Primary School
Enkululekweni,Primary School
Fumisukoma,Primary School
Gertrude Shope,Primary School
Isaac Booi,Primary School
Jarvis Gqamlana,Primary School
Kama,Primary School
KK Ncwane,Primary School
Kwanoxolo,Primary School
Mboniselo,Primary School
Melisizwe,Primary School
Molefe,Primary School
Sapphire,Primary School
Seyisi,Primary School
Sivuyiseni,Primary School
Spencer,Primary School
Steven Mazungula,Primary School
Strelitzia,Primary School
Sume Center,ECDC
Bavumeleni PreSchool,ECDC
Bright angels,ECDC
Dorothy,ECDC
Ekhaya PreSchool,ECDC
Emanuel Day Care,ECDC
Ezibeleni,ECDC
Future Angels,ECDC
Green Apple,ECDC
Ilitha Lethu Day Care,ECDC
Jongilanga,ECDC
Kids College,ECDC
Koester Day Care,ECDC
Libhongolethu,ECDC
Lithemba,ECDC
Livuse PreSchool,ECDC
Lukhanyo Creche,ECDC
Mzamomhle,ECDC
Njongozabantu,ECDC
Nobandla,ECDC
Noluthando,ECDC
Nomtha,ECDC
Nonqkubela,ECDC
Paulos Oyungcwele,ECDC
Qaqawuli Godolozi,ECDC
Rise and Shine,ECDC
Sakha Abantwana,ECDC
Sifunimfundo,ECDC
Sinethemba,ECDC
Sisonke,ECDC
Siyabulela PreSchool,ECDC
St Mary Magaldene,ECDC
Thembalethu PreSchool,ECDC
Zizamele,ECDC
Kokkewiet,ECDC
Bambino,ECDC
Vukani,ECDC
Living Ubuntu,ECDC
Wittekleibosch,ECDC
Msobomvu,Primary School
Clarkson,Primary School
Sandwater,Primary School
Nceduluntu,ECDC
Mzimhlophe,Primary School
Ntyatyambo,Primary School
Spencer Mabija,Primary School
Ben Nyati,Primary School
David Vuku,Primary School
Elundini,Primary School
Enkulekweni,Primary School
Enkwenkwezini,Primary School
Enqileni,Primary School
Funimfundo,Primary School
Garrett,Primary School
Ikhwezelihle,Primary School
Ilitha,Primary School
Imbasa,Primary School
Inkqubela,Primary School
Kayser Ngxwana,Primary School
Khulile,Primary School
Kk Ncwana Lower,Primary School
Lamani,Primary School
Nkuthalo,Primary School
Nxanelwimfundo,Primary School
Pendla,Primary School
Phakama,Primary School
Samuel Nongogo,Primary School
Siyaphambili,Primary School
Stephen Mazungula,Primary School
Vezubuhle,Primary School
Vukanibantu,Primary School
Zanoxolo,Primary School